group,function,value,sample_time_nanos,iteration_count
checktx x,,,27676041,1
checktx x,,,51277090,2
checktx x,,,75486979,3
checktx x,,,101863207,4
checktx x,,,127129572,5
checktx x,,,155019732,6
checktx x,,,177533034,7
checktx x,,,202850628,8
checktx x,,,231335112,9
checktx x,,,253594376,10
checktx x,,,282797465,11
checktx x,,,307648810,12
checktx x,,,336767348,13
checktx x,,,358619335,14
checktx x,,,383993864,15
checktx x,,,408326004,16
checktx x,,,442541249,17
checktx x,,,459228571,18
checktx x,,,486799523,19
checktx x,,,518152019,20
checktx x,,,536277550,21
checktx x,,,563236274,22
checktx x,,,594093900,23
checktx x,,,613892479,24
checktx x,,,639491910,25
checktx x,,,665861438,26
checktx x,,,689107735,27
checktx x,,,714099163,28
checktx x,,,749500639,29
checktx x,,,764260934,30
checktx x,,,793063880,31
checktx x,,,832346900,32
checktx x,,,931750396,33
checktx x,,,915567169,34
checktx x,,,937242803,35
checktx x,,,974052648,36
checktx x,,,1040707631,37
checktx x,,,1006399863,38
checktx x,,,991760717,39
checktx x,,,1015238181,40
checktx x,,,1040598856,41
checktx x,,,1065501593,42
checktx x,,,1091710086,43
checktx x,,,1118134084,44
checktx x,,,1150690411,45
checktx x,,,1195122703,46
checktx x,,,1210795026,47
checktx x,,,1226674395,48
checktx x,,,1243567538,49
checktx x,,,1284894907,50
checktx x,,,1292838091,51
checktx x,,,1322368186,52
checktx x,,,1359531417,53
checktx x,,,1390465237,54
checktx x,,,1420242767,55
checktx x,,,1426414039,56
checktx x,,,1454199715,57
checktx x,,,1473370098,58
checktx x,,,1505196012,59
checktx x,,,1528400512,60
checktx x,,,1547011521,61
checktx x,,,1572587541,62
checktx x,,,1599843478,63
checktx x,,,1628620348,64
checktx x,,,1648139293,65
checktx x,,,1682069488,66
checktx x,,,1709301796,67
checktx x,,,1736237700,68
checktx x,,,1752361763,69
checktx x,,,1780275627,70
checktx x,,,1800673694,71
checktx x,,,1850751403,72
checktx x,,,1848888427,73
checktx x,,,1884558506,74
checktx x,,,1901804374,75
checktx x,,,1933053932,76
checktx x,,,1952185764,77
checktx x,,,1993299721,78
checktx x,,,2012525714,79
checktx x,,,2025882737,80
checktx x,,,2066567306,81
checktx x,,,2106831749,82
checktx x,,,2136206030,83
checktx x,,,2142736394,84
checktx x,,,2216539544,85
checktx x,,,2242772467,86
checktx x,,,2225809979,87
checktx x,,,2240614495,88
checktx x,,,2281766675,89
checktx x,,,2303927320,90
checktx x,,,2321375912,91
checktx x,,,2335645318,92
checktx x,,,2365840770,93
checktx x,,,2385210765,94
checktx x,,,2477594574,95
checktx x,,,2482917853,96
checktx x,,,2488597862,97
checktx x,,,2496540933,98
checktx x,,,2525752818,99
checktx x,,,2537450357,100
